state,state_name,state_fips,county_fips,county_geoid,county_name,county_display,county_slug,county_key
GA,Georgia,13,001,13001,Appling,Appling County,appling,ga-appling
GA,Georgia,13,003,13003,Atkinson,Atkinson County,atkinson,ga-atkinson
GA,Georgia,13,005,13005,Bacon,Bacon County,bacon,ga-bacon
GA,Georgia,13,007,13007,Baker,Baker County,baker,ga-baker
GA,Georgia,13,009,13009,Baldwin,Baldwin County,baldwin,ga-baldwin
GA,Georgia,13,011,13011,Banks,Banks County,banks,ga-banks
GA,Georgia,13,013,13013,Barrow,Barrow County,barrow,ga-barrow
GA,Georgia,13,015,13015,Bartow,Bartow County,bartow,ga-bartow
GA,Georgia,13,017,13017,Ben Hill,Ben Hill County,ben-hill,ga-ben-hill
GA,Georgia,13,019,13019,Berrien,Berrien County,berrien,ga-berrien
GA,Georgia,13,021,13021,Bibb,Bibb County,bibb,ga-bibb
GA,Georgia,13,023,13023,Bleckley,Bleckley County,bleckley,ga-bleckley
GA,Georgia,13,025,13025,Brantley,Brantley County,brantley,ga-brantley
GA,Georgia,13,027,13027,Brooks,Brooks County,brooks,ga-brooks
GA,Georgia,13,029,13029,Bryan,Bryan County,bryan,ga-bryan
GA,Georgia,13,031,13031,Bulloch,Bulloch County,bulloch,ga-bulloch
GA,Georgia,13,033,13033,Burke,Burke County,burke,ga-burke
GA,Georgia,13,035,13035,Butts,Butts County,butts,ga-butts
GA,Georgia,13,037,13037,Calhoun,Calhoun County,calhoun,ga-calhoun
GA,Georgia,13,039,13039,Camden,Camden County,camden,ga-camden
GA,Georgia,13,043,13043,Candler,Candler County,candler,ga-candler
GA,Georgia,13,045,13045,Carroll,Carroll County,carroll,ga-carroll
GA,Georgia,13,047,13047,Catoosa,Catoosa County,catoosa,ga-catoosa
GA,Georgia,13,049,13049,Charlton,Charlton County,charlton,ga-charlton
GA,Georgia,13,051,13051,Chatham,Chatham County,chatham,ga-chatham
